":START_ID",":END_ID"
"1907","1977"
"1908","1978"
"1909","1979"
"1910","1980"
"1911","1981"
"1912","1982"
"1913","1983"
"1914","1984"
"1915","1985"
"1916","1986"
"1917","1987"
"1918","1988"
"1919","1989"
"1920","1990"
"1921","1991"
"1922","1992"
"1923","1993"
"1924","1994"
"1925","1995"
"1926","1996"
"1927","1997"
"1928","1998"
"1929","1999"
"1930","2000"
"1931","2001"
"1932","2002"
"1933","2003"
"1934","2004"
"1935","2005"
"1936","2006"
"1937","2007"
"1938","2008"
"1939","2009"
"1940","2010"
"1941","2011"
"1942","2012"
"1943","2013"
"1944","2014"
"1945","2015"
"1946","2016"
"1947","2017"
"1948","2018"
"1949","2019"
"1950","2020"
"1951","2021"
"1952","2022"
"1953","2023"
"1954","2024"
"1955","2025"
"1956","2026"
"1957","2027"
"1958","2028"
"1959","2029"
"1960","2030"
"1961","2031"
"1962","2032"
"1963","2033"
"1964","2034"
"1965","2035"
"1966","2036"
"1967","2037"
"1968","2038"
"1969","2039"
"1970","2040"
"1971","2041"
"1972","2042"
"1973","2043"
"1974","2044"
"1975","2045"
"1976","2046"
